"sample_type" "gene" "expression_level"
"1" "Tumor" "GATA3" 2.87
"2" "Tumor" "GATA3" 2.17
"3" "Tumor" "GATA3" 1.32
"4" "Tumor" "GATA3" 1.84
"5" "Tumor" "GATA3" -6.03
"6" "Tumor" "GATA3" 1.8
"7" "Tumor" "GATA3" -4.88
"8" "Tumor" "GATA3" -3.14
"9" "Tumor" "GATA3" 2.03
"10" "Tumor" "GATA3" -0.29
"11" "Tumor" "GATA3" -0.8
"12" "Tumor" "GATA3" 2.65
"13" "Tumor" "GATA3" -2.31
"14" "Tumor" "GATA3" -3.76
"15" "Tumor" "GATA3" 3.93
"16" "Tumor" "GATA3" -1.28
"17" "Tumor" "GATA3" 1.62
"18" "Tumor" "GATA3" 1.87
"19" "Tumor" "GATA3" 1.47
"20" "Tumor" "GATA3" -2.96
"21" "Tumor" "GATA3" 2.35
"22" "Tumor" "GATA3" 2.46
"23" "Tumor" "GATA3" 3.37
"24" "Tumor" "GATA3" 2.98
"25" "Tumor" "GATA3" 2.26
"26" "Tumor" "GATA3" 1.99
"27" "Tumor" "GATA3" 1.54
"28" "Tumor" "GATA3" 1.48
"29" "Tumor" "GATA3" 0.04
"30" "Tumor" "GATA3" 2.31
"31" "Tumor" "GATA3" -2.2
"32" "Tumor" "GATA3" 1.82
"33" "Tumor" "GATA3" -1.29
"34" "Tumor" "GATA3" 2.98
"35" "Tumor" "GATA3" 2.13
"36" "Tumor" "GATA3" 1.99
"37" "Tumor" "GATA3" 1.38
"38" "Tumor" "GATA3" 1.8
"39" "Tumor" "GATA3" 1.83
"40" "Tumor" "GATA3" 2.95
"41" "Tumor" "GATA3" 0.79
"42" "Tumor" "GATA3" 2.79
"43" "Tumor" "GATA3" 2.64
"44" "Tumor" "GATA3" 1.71
"45" "Tumor" "GATA3" 1.55
"46" "Tumor" "GATA3" 1.76
"47" "Tumor" "GATA3" 1.22
"48" "Tumor" "GATA3" -0.08
"49" "Tumor" "GATA3" 2.83
"50" "Tumor" "GATA3" 1.83
"51" "Tumor" "GATA3" 0.36
"52" "Tumor" "GATA3" -1.74
"53" "Tumor" "GATA3" 2.09
"54" "Tumor" "GATA3" 0.34
"55" "Tumor" "GATA3" 0.11
"56" "Tumor" "GATA3" 0.16
"57" "Tumor" "GATA3" 2.12
"58" "Tumor" "GATA3" 2.37
"59" "Tumor" "GATA3" 1.94
"60" "Tumor" "GATA3" 1.93
"61" "Tumor" "GATA3" 1.7
"62" "Tumor" "GATA3" 2.25
"63" "Tumor" "GATA3" 2.19
"64" "Tumor" "GATA3" -2.94
"65" "Tumor" "GATA3" 1.73
"66" "Tumor" "GATA3" 1.43
"67" "Tumor" "GATA3" 2.02
"68" "Tumor" "GATA3" 2.33
"69" "Tumor" "GATA3" -4.57
"70" "Tumor" "GATA3" 1.43
"71" "Tumor" "GATA3" 1.97
"72" "Tumor" "GATA3" -2.71
"73" "Tumor" "GATA3" 1.5
"74" "Tumor" "GATA3" 3.14
"75" "Tumor" "GATA3" 0
"76" "Tumor" "GATA3" -1.03
"77" "Tumor" "GATA3" 1.22
"78" "Tumor" "GATA3" 0.32
"79" "Tumor" "GATA3" 2.48
"80" "Tumor" "GATA3" 2.42
"81" "Tumor" "GATA3" -3.25
"82" "Tumor" "GATA3" 2.84
"83" "Tumor" "GATA3" -1.06
"84" "Tumor" "GATA3" -3.86
"85" "Tumor" "GATA3" 1.93
"86" "Tumor" "GATA3" -1.75
"87" "Tumor" "GATA3" -0.43
"88" "Tumor" "GATA3" -4.4
"89" "Tumor" "GATA3" -0.75
"90" "Tumor" "GATA3" 2.26
"91" "Tumor" "GATA3" 3.32
"92" "Tumor" "GATA3" 0.79
"93" "Tumor" "GATA3" 1.6
"94" "Tumor" "GATA3" 0.89
"95" "Tumor" "GATA3" 1.1
"96" "Tumor" "GATA3" 2.38
"97" "Tumor" "GATA3" 2.67
"98" "Tumor" "GATA3" 3.71
"99" "Tumor" "GATA3" 2.98
"100" "Tumor" "GATA3" 1.44
"101" "Tumor" "GATA3" 1.71
"102" "Tumor" "GATA3" 1.62
"103" "Tumor" "GATA3" 2.6
"104" "Tumor" "GATA3" 2.12
"105" "Tumor" "GATA3" -4.39
"106" "Tumor" "GATA3" 1.21
"107" "Tumor" "GATA3" 1.93
"108" "Tumor" "GATA3" 1.74
"109" "Tumor" "GATA3" 1.54
"110" "Tumor" "GATA3" 2.47
"111" "Tumor" "GATA3" 2.15
"112" "Tumor" "GATA3" -2.05
"113" "Tumor" "GATA3" 1.14
"114" "Tumor" "GATA3" -0.93
"115" "Tumor" "GATA3" 2.73
"116" "Tumor" "GATA3" -0.69
"117" "Tumor" "GATA3" 0.89
"118" "Tumor" "GATA3" 3.15
"119" "Tumor" "GATA3" 1.48
"120" "Tumor" "GATA3" 2.34
"121" "Tumor" "GATA3" 3.87
"122" "Tumor" "GATA3" 2.33
"123" "Tumor" "GATA3" 2.07
"124" "Tumor" "GATA3" 1.82
"125" "Tumor" "GATA3" 2.42
"126" "Tumor" "GATA3" 2.15
"127" "Tumor" "GATA3" 2.65
"128" "Tumor" "GATA3" 1.51
"129" "Tumor" "GATA3" 3.34
"130" "Tumor" "GATA3" -1.37
"131" "Tumor" "GATA3" 1.4
"132" "Tumor" "GATA3" 2.34
"133" "Tumor" "GATA3" 0.88
"134" "Tumor" "GATA3" 2.41
"135" "Tumor" "GATA3" 0.92
"136" "Tumor" "GATA3" -3.77
"137" "Tumor" "GATA3" 2.63
"138" "Tumor" "GATA3" 2.28
"139" "Tumor" "GATA3" -1.91
"140" "Tumor" "GATA3" 2.44
"141" "Tumor" "GATA3" 2.42
"142" "Tumor" "GATA3" 3.51
"143" "Tumor" "GATA3" 1.58
"144" "Tumor" "GATA3" 2.27
"145" "Tumor" "GATA3" -0.4
"146" "Tumor" "GATA3" 2.12
"147" "Tumor" "GATA3" 1.46
"148" "Tumor" "GATA3" 1.27
"149" "Tumor" "GATA3" 2.35
"150" "Tumor" "GATA3" 2.36
"151" "Tumor" "GATA3" 2.38
"152" "Tumor" "GATA3" 2.13
"153" "Tumor" "GATA3" 2.24
"154" "Tumor" "GATA3" 2.27
