sample_type GATA3 PTEN XBP1 ESR1 MUC1
"Tumor" 2.87 1.36 2.98 3.08 1.65
"Tumor" 2.17 0.43 2.55 2.39 3.08
"Tumor" 1.32 1.31 3.02 0.79 2.98
"Tumor" 1.84 0.81 3.13 2.5 -1.92
"Tumor" -6.03 0.25 -1.45 -4.86 -1.17
"Tumor" 1.8 1.31 4.04 2.8 3.53
"Tumor" -4.88 -0.24 -0.72 -4.49 -1.46
"Tumor" -3.14 -1.24 -1.19 -1.63 -0.99
"Tumor" 2.03 1.21 2.28 4.12 0.67
"Tumor" -0.29 0.29 -1.6 0.47 0.01
"Normal" -5.21 1.02 -1.55 2.64 2.85
"Normal" -4.52 -0.4 -0.52 2.34 2.92
"Normal" -4.41 -0.18 -0.65 1.19 1.8
"Normal" -4.21 0.16 -0.12 0.14 2.27
"Normal" -5.2 0.98 -1.9 0.81 2.5
"Normal" -3.09 -0.7 -1.62 -0.58 0.31
"Normal" -4.77 0.84 -1.36 0.96 2.02
"Normal" -4.91 1.06 -0.86 1.94 4.04
"Normal" -4.5 0.12 -1.22 1.85 3.62
"Normal" -4.4 -1.31 -0.74 1.31 1.26
"Normal" -4.34 0.26 -0.98 3.39 1.45
